CodOriginal;Produto;Tipo;SubTipo;Fornecedor;IPI;ICMS;Prç_Entrada;Prç_Venda;Quantidade
3101 - 311050;BROCA 10,50MM DIN 338N HSS;BROCA;FURAÇÃO;INDAÇO;8;;22,61;69,63;3
3681081;CHAVE TORX 10 - 12749726200;CHAVE;COMPONENTES;GMF;8;;15,97;58,45;1
T15000;CHAVE TORX 15;CHAVE;COMPONENTES;HEINZ TOOLS;8;;4;11,4;17
T20000;CHAVE TORX 20;CHAVE;COMPONENTES;MR RUBÃO;8;;2,5;11,4;10
T60000;CHAVE TORX 6;CHAVE;COMPONENTES;SUPORTES BRASIL;8;;3,8;11,4;9
T70000;CHAVE TORX 7;CHAVE;COMPONENTES;GMF;8;;3,8;11,4;15
T90000;CHAVE TORX 9;CHAVE;COMPONENTES;HEINZ TOOLS;8;;4;11,4;10
2559805;CNMA120412 HK1500;INSERTO;TORNEAMENTO;KENNAMETAL;8;;13,44;49,19;9
1915;PINCA DMC08 3,00MM  (KOJEX);PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;BASFIX/ BTFIXO;0;;182,71;562,74;1
1793;PORTA PINCA BT 40 X DMC 06 *** USADO *** (L=90MM) (L1=45MM)-30.000RPM (KOJEX);PARTES E ACESSORIOS PARA MAQUINAS;FIXAÇÃO;BASFIX/ BTFIXO;0;;513,74;1582,31;1
3851013;TDM1928UPM WU25PD INSERTO TDM1 D=19,28;INSERTO;FURAÇÃO;KENNAMETAL;8;;228,24;835,36;2
3849113;TDM1680UPM WU25PD INSERTO TDM1 D=16.80;INSERTO;FURAÇÃO;KENNAMETAL;8;;204,56;748,69;1
152;FRESA ESFERICA 55HRC 2C D=1X4X50X2;FRESA DE TOPO;FRESAMENTO;HEINZ TOOLS;8;;23,65;76,63;4
18146;F-C.G.P. 170.38.820 (CJTO GRAMPO PARAFUSO);FIXAÇÃO;COMPONENTES;SUPORTES BRASIL;0;;34;102;6
5540401;FRESA RETA 55HRC 4C D=4X15X75 H4;FRESA DE TOPO;FRESAMENTO;BASFIX/ BTFIXO;8;;36,94;113,8;1
TNMG160412-GR;TNMG160412-GR WS8125;PARTES E ACESSORIOS PARA PORTA FERRAMENTAS;TORNEAMENTO;SUPORTES BRASIL;0;;14;42;10
SPMG05;SPMG050204-DG WS5231;PARTES E ACESSORIOS PARA PORTA FERRAMENTAS;TORNEAMENTO;SUPORTES BRASIL;0;;18;54;4
30050;M200D50Z04F22 D=50 Z=4 RNPJ12;SUPORTE;FRESAMENTO;GCTOOLS;0;;100;960;13
6143;SUPORTE HNMU09 D=80 Z6 L50 FC27 45° (M1200);SUPORTE;TORNEAMENTO;GCTOOLS;0;;485;1455;1
PTM4X10;PARAFUSO TORX M4 X 10;PARAFUSO;COMPONENTES;HEINZ TOOLS;10;;1,5;6;34
